"test","value"
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0.63556146822915
2,0.0469711094249994
2,1.1614732049406
2,0.402334052635581
2,0.528709635307551
2,0.00675633210021008
2,1.27285402292579
2,0.366745001289569
2,0.548968728898486
2,0.259212391076476
2,1.06210669913727
2,0.374902098915891
2,0.404356193608953
2,0.186749635412356
2,1.0887764438698
2,0.408857945599574
2,0.156200908066981
2,0.0457928272105457
2,0.813547120381798
2,0.302045800470715
2,0.157682618977612
2,0.0484861469892659
2,0.851098172144285
2,0.284665100391751
2,0.157648474714803
2,0.0585463350599735
2,0.761080727072564
2,0.324893138784704
2,0.147133362460754
2,0.0320057656677185
2,0.689561306777542
2,0.30631315427528
3,3.16830010716487
3,1.98929146715769
3,3.2696759939192
3,2.01636404401805
3,2.94086413777768
3,1.99501170463956
3,3.28710480278969
3,2.04291428035938
3,3.50004382229907
3,2.29905261860303
3,3.13719618257313
3,1.973890677169
3,3.29706436222827
3,2.20397029453784
3,3.14638748762659
3,2.04315204353744
3,0.559268009265094
3,0.406876900090168
3,2.20648409964217
3,1.25785023855689
3,0.601931511538011
3,0.417836889791094
3,2.21383268630465
3,1.31350286558974
3,0.538369402576363
3,0.528364658249094
3,2.25523314053981
3,1.18421638862736
3,0.487743730892519
3,0.477348330255925
3,1.98940960194446
3,1.28026017276161
4,6.76365081603004
4,6.36595347481363
4,6.34144669112843
4,5.5703930686734
4,6.81054461489411
4,6.29174743594617
4,6.49886470528326
4,5.65367145820884
4,6.50379920560223
4,5.96810411975212
4,6.40630865264484
4,4.92862917082332
4,6.5571253117825
4,5.94601685760521
4,6.35433236672952
4,5.19373078928253
4,2.71145097907538
4,1.35392094622246
4,5.53199366637892
4,3.68859498846732
4,2.79172030390898
4,1.31460001234232
4,5.75427394224939
4,3.80000720915206
4,2.97377525603751
4,1.3948375059471
4,5.16301970032088
4,3.16184033417783
4,3.71371317484281
4,1.21925218798925
4,4.96343732971177
4,3.27367476980433
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,6.08468525492648
5,8
5,8
5,8
5,5.79519991191963
5,8
5,8
5,8
5,5.80089136743493
5,8
5,8
5,8
5,7.23694236891482
5,8
5,7.80064493943837
